content,score
Mantap...pelayanan makin mudah..👍👍,5
Memudahkan,5
Mantap sangat membantu dan mudah digunakan,5
aplikasi yang terintegrasi . semua pelayanan ada dalam satu aplikasi,5
"Sangat membantu, satu aplikasi bisa untuk semua layanan",5
Makin canggih dan berjaya,5
Sangat membantu karena semua layanan ada dalam 1 genggaman,5
Memudahkan berbagai macam pelayanan,5
Aplikasi yg cukup lengkap... Kereen.. 👍,5
Sangat membantu dan lengkap.,5
Sangat memudahkan pelayanan,5
Bermanfaat dan bermartabat,5
Gak guna mi,1
"Pengalaman sya sih, ni aplikasi bukan mempermudah malah makin ribet 😒",5
"Aplikasi yang sangat bermanfaat bagi warga Kota Yogyakarta. Sedikit saran suara notifikasi agar dapat diganti sebab selain mengagetkan, tak mencerminkan alunan lagu khas Jogja",5
Astaghfirulloh.. Mau log in susahnya ampun deh,1
Membantu,5
ga fungsi...uda daftar gangguan terus,1
Mau permohonan ganti KTP rusak tp daftarnya selfi pake ktp trus gimana ya? Soalnya ktp nya aja rusak mau selfi pake ktp siapa mas,3
"Luar biasa, banyak kemudahan yg didapat",5
Rong nyobo ndes Jogja banyak kliteh,5
Mau lihat data warga tidak bisa dan aplikasi lemot pol mohon diperbaiki lagi,1
Sering gagal nyambung ke wifi,1
"Bermanfaat sekali, tingkatkan",5
"Pelayanan online masih berantakan banget, ngurus KK baru ribetnya minta ampun, admin wa nya juga slow respon banget, cari pegawai yang kompeten lahh",1
Sangat bermanfaat dan komunikatif,5
Sangat membantu,5
Tingkatkan,5
Mantab,5
"Aplikasi nya mantaapp. Sesuai dengan namanya smart service, semoga ke depan makin di perbaiki lgi sistem yang masih kurang👍",5
Sangat bermanfaat untuk kepengurusan KIA KTP Akta,5
Sangat bagus dan bermanfaat,5
Alhamdulillah mantab,5
"Sangat membantu sekali, semua pelayanan di pemerintah kota Yogyakarta. Petugasnya ramah dan membantu",5
"Aplikasinya sangat membantu masyarakat, petugasnya ramah. Terimakasih",5
"Aplikasinya cukup membantu dan memudahkan dalam pemrosesan, tingkatkan",5
Sangat membantu sekali. Mantap,5
"Aplikasinya sangat bermanfaat dan petugasnya ramah, komunikatif",5
Pelayanannya sangat memuaskan dan petugasnya sangat membantu,5
"Pelayanan jss di mpp sangat bagus , sangat membantu masyarakat",5
Sangat membantu sekali dalam mendapatkan informasi mengenai lingkup pemerintah,5
Layanannya baik dan cepat.,4
"Aplikasinya sangat bermanfaat buat warga Jogja, semoga bisa lebih dikembangkan lagi🙏",5
Akses Lebih cepat dari senjatanya korut,5
"aplikasi sangat membantu dalam urusan urusan kependudukan dan lain lain, dan tidak banyak memakai ruang penyimpanan dalam handphone",5
"Aplikasi ini sangat bermanfaat dan membantu masyarakat karena bisa di akses dimana saja, menunya juga lengkap",5
Aplikasi sudah ada kemajuan. Semoga semakin ada peningkatan lagi dan mempermudah masyarakat Jogja dalam mengurus administrasi kependudukan,5
"aplikasinya sangat membantu, aduan melalui UPIK tertangani dengan cepat.",5
"mantap sekali aplikasinya, bisa ngurus surat tanpa harus ke kantor dinas.. bisa dilakukan jarak jauh, semoga update lebih bagus lagi dengan tambah fitur lainnya 👍👍",5
Aplikasi yang bagus mantab good job,5
"memudahkan, semoga terus upgrade lagi dengan fitur2 terbaiknya ya",5
"Aplikasi bagus, walau ada beberapa bug, bisa di tingkatkan",4
"Maaf sementara ini aplikasi ini saya uninstal karena ke logout sendiri.dan klo mau masuk disuruh masukin nama,email,no.ktp n password itu yang bikin males.padahal setau saya aplikasi jas saya sudah kebuka kok bisa ke logout sendiri.jadi males gunakan apk ini apalagi klo pas menggunakan WiFi dari Pemkot susah masuknya trus untuk cctv terbatas di kota saja ga semua seluruh Jogjakarta meliputi cctv Sleman,Bantul,kulon Progo n Wonosari.",1
Berguna sesuai dengan nama aplikasinya sangat smart service,5
Mantap. Tingkatkan terus aplikasinya,5
Aplikasinya sangat membantu untuk pembuatan akta & KIA,5
Mantap. Tingkatkan terus aplikasinya,5
On,2
Ok lumayan membantu..,5
"notif ganggu banget, suaranyaa nyebelin TENG TENG TENG TENG TENG apa lagi kalo pas lgi kumpul2 kerja miting malah jadi malu ditambah notifnya gabisa ilang di atas",1
Yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. Jadi kurang bagus....,1
Sangat bermanfaat.,5
Ok,5
Ookkeee,4
Ookkeee,4
Susah mendaftar di jjs smart,3
Oke,4
Menurut saya aplikasinya tidak sesuai dengan nama nya yaitu smart Karena untuk mengurus data masih harus chat via whatsapp dimana harus di saat jam kerja Saran saya lebih baik dibuat seperti aplikasi dukcapil smart bantul(bisa mengisi data saat tidak jam kerja di dalam aplikasi/tidak perlu melalui wa dan tinggal menunggu hasilnya keluar saat sudah jam kerja via email) Ada kurang lebihnya mohon maaf Terima kasih🙏,1
Aduan lampu penerangan jalan mati..selesai 10jam dari laporan Conblok amblas krn hujan...2 hari selesai... Pohon perindang menutup pandangan pemakai jalan... 3hari selesai... Menurut saya penyelesaian masalah masih baik... Terima kasih..JSS.,5
"Maaf,pernah masang aplikasi ini..tapi setelah jarang saya buka mau masuk lagi kok susah? Padahal sudah terdaftar dulunya..",2
Gagal buat akun padahal ktp e yg buat pemerintah....lucu apk nya,1
Mohon disempurnakan fitur absensi otomatis yang terbaru tidak berjalan dihp kami yg ada di sekolah kemarin dpt info dr salah satu pegawai dinas pendidikan bisa tetapi setelah kami coba tdk bisa berjalan triamakasih,1
"kok ilang dewe. rajelas tenan. Parah ,raono balesan,sering err. Raiso otomatis. Ribet. Bajingan ra jelas",1
Setelah diupdate mlh susah..bgus an kmrin,1
